,Brand,Processor,Operating_System,Ram_1,SSD,HDD,Touch_Screen,MRP,Price
564,MSI,i9,win11,16,1000,0,no,"₹1,25,990",125990
565,ASUS,r7,win11,32,2000,0,no,"₹2,49,990",249990
566,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
567,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
568,ASUS,r7,win11,16,1000,0,no,"₹1,49,990",149990
569,DELL,Pentium,win11,8,256,0,no,"₹36,990",36990
570,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
571,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
572,ASUS,i5,win10,16,512,0,no,"₹85,990",85990
573,HP,r7,win10,8,512,0,no,"₹60,990",60990
574,DELL,i5,win11,8,512,0,no,"₹87,900",87900
575,Lenovo,Dual,win10,4,0,1000,no,"₹27,490",27490
576,DELL,Pentium,win11,8,256,0,no,"₹36,990",36990
577,ASUS,r7,win11,32,2000,0,no,"₹2,49,990",249990
578,ASUS,r7,win11,16,1000,0,no,"₹1,49,990",149990
579,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
580,HP,r3,win11,8,0,1000,no,"₹28,999",28999
581,DELL,i5,win11,8,512,0,no,"₹87,900",87900
582,acer,i7,win10,16,512,1000,no,"₹1,17,990",117990
583,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
584,ASUS,i5,win10,16,512,0,no,"₹85,990",85990
585,DELL,i5,win11,8,256,1000,no,"₹61,497",61497
586,HP,r5,win11,8,512,0,no,"₹70,400",70400
587,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
588,Lenovo,i5,win10,16,512,0,no,"₹69,000",69000
589,Lenovo,r5,win11,8,512,0,no,"₹64,490",64490
590,ASUS,r7,win11,16,1000,0,no,"₹1,49,990",149990
591,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
592,HP,r5,win11,8,512,0,no,"₹96,579",96579
593,DELL,i7,win11,16,512,0,no,"₹1,01,990",101990
594,ASUS,i7,win11,16,512,0,no,"₹89,990",89990
595,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
596,HP,r7,win11,8,512,0,no,"₹94,990",94990
597,MSI,i7,win11,32,2000,0,no,"₹3,14,990",314990
598,DELL,i3,win11,8,256,1000,no,"₹46,900",46900
599,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
600,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
601,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
602,ASUS,i9,win11,32,2000,0,no,"₹3,31,990",331990
603,DELL,i7,win11,16,1000,0,no,"₹1,16,490",116490
604,HP,r3,win10,8,512,0,no,"₹64,590",64590
605,DELL,i7,win11,16,1000,0,no,"₹1,37,990",137990
606,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
607,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
608,DELL,i5,win10,8,512,0,no,"₹55,690",55690
609,Lenovo,i7,win10,16,512,0,no,"₹1,09,990",109990
610,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
611,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
612,ASUS,i7,win10,8,256,1000,no,"₹79,990",79990
613,ASUS,r9,win11,16,1000,0,no,"₹1,30,500",130500
614,ASUS,r9,win11,32,2000,0,no,"₹3,61,990",361990
615,ASUS,r9,win11,16,1000,0,yes,"₹2,11,990",211990
616,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
617,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
618,DELL,i3,win10,4,256,0,no,"₹39,890",39890
619,MSI,i7,win11,16,1000,0,no,"₹1,39,990",139990
620,Lenovo,r7,win11,8,512,0,no,"₹73,490",73490
621,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
622,MSI,i7,win10,16,256,1000,no,"₹99,990",99990
623,HP,i5,win10,16,512,0,no,"₹66,700",66700
624,DELL,i5,win10,8,256,1000,no,"₹68,990",68990
625,DELL,i9,win11,32,1000,0,no,"₹4,34,830",434830
626,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
627,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
629,HP,i7,win11,16,512,0,no,"₹1,05,822",105822
630,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
